sample_id,image_path,full_path,meta_path,label,label_status
20260323_223900_700539_cost_card_05_856_810,bot\samples\1440x900\ocr_auto_turn_end\20260323_223900_700539_cost_card_05_856_810.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223900_700539_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223900_700539_meta.txt,10,done
20260323_223950_164558_cost_card_02_507_818,bot\samples\1440x900\ocr_auto_turn_end\20260323_223950_164558_cost_card_02_507_818.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223950_164558_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223950_164558_meta.txt,2,done
20260323_223950_164558_cost_card_05_855_810,bot\samples\1440x900\ocr_auto_turn_end\20260323_223950_164558_cost_card_05_855_810.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223950_164558_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_223950_164558_meta.txt,10,done
20260323_224136_179456_cost_card_01_540_822,bot\samples\1440x900\ocr_auto_turn_end\20260323_224136_179456_cost_card_01_540_822.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224136_179456_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224136_179456_meta.txt,,skip
20260323_224139_804678_cost_card_01_477_816,bot\samples\1440x900\ocr_auto_turn_end\20260323_224139_804678_cost_card_01_477_816.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224139_804678_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224139_804678_meta.txt,2,done
20260323_224211_807203_cost_card_01_453_825,bot\samples\1440x900\ocr_auto_turn_end\20260323_224211_807203_cost_card_01_453_825.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224211_807203_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224211_807203_meta.txt,2,done
20260323_224211_807203_cost_card_04_843_810,bot\samples\1440x900\ocr_auto_turn_end\20260323_224211_807203_cost_card_04_843_810.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224211_807203_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224211_807203_meta.txt,3,done
20260323_224211_807203_cost_card_06_951_833,bot\samples\1440x900\ocr_auto_turn_end\20260323_224211_807203_cost_card_06_951_833.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224211_807203_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224211_807203_meta.txt,,skip
20260323_224234_285991_cost_card_02_525_811,bot\samples\1440x900\ocr_auto_turn_end\20260323_224234_285991_cost_card_02_525_811.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224234_285991_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224234_285991_meta.txt,4,done
20260323_224308_792358_cost_card_02_507_817,bot\samples\1440x900\ocr_auto_turn_end\20260323_224308_792358_cost_card_02_507_817.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224308_792358_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224308_792358_meta.txt,4,done
20260323_224308_792358_cost_card_07_965_835,bot\samples\1440x900\ocr_auto_turn_end\20260323_224308_792358_cost_card_07_965_835.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224308_792358_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224308_792358_meta.txt,,skip
20260323_224538_459659_cost_card_02_519_812,bot\samples\1440x900\ocr_auto_turn_end\20260323_224538_459659_cost_card_02_519_812.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224538_459659_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_224538_459659_meta.txt,10,done
20260323_225451_846985_cost_card_01_454_829,bot\samples\1440x900\ocr_auto_turn_end\20260323_225451_846985_cost_card_01_454_829.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225451_846985_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225451_846985_meta.txt,6,done
20260323_225451_846985_cost_card_06_843_811,bot\samples\1440x900\ocr_auto_turn_end\20260323_225451_846985_cost_card_06_843_811.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225451_846985_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225451_846985_meta.txt,8,done
20260323_225640_669067_cost_card_02_447_834,bot\samples\1440x900\ocr_auto_turn_end\20260323_225640_669067_cost_card_02_447_834.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225640_669067_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225640_669067_meta.txt,6,done
20260323_225640_669067_cost_card_03_531_827,bot\samples\1440x900\ocr_auto_turn_end\20260323_225640_669067_cost_card_03_531_827.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225640_669067_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225640_669067_meta.txt,8,done
20260323_225913_312186_cost_card_01_597_822,bot\samples\1440x900\ocr_auto_turn_end\20260323_225913_312186_cost_card_01_597_822.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225913_312186_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225913_312186_meta.txt,,skip
20260323_225913_312186_cost_card_02_652_822,bot\samples\1440x900\ocr_auto_turn_end\20260323_225913_312186_cost_card_02_652_822.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225913_312186_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_225913_312186_meta.txt,,skip
20260323_230328_495088_cost_card_01_447_835,bot\samples\1440x900\ocr_auto_turn_end\20260323_230328_495088_cost_card_01_447_835.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_230328_495088_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_230328_495088_meta.txt,8,done
20260323_230634_873607_cost_card_02_505_819,bot\samples\1440x900\ocr_auto_turn_end\20260323_230634_873607_cost_card_02_505_819.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_230634_873607_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_230634_873607_meta.txt,3,done
20260323_230634_873607_cost_card_04_871_816,bot\samples\1440x900\ocr_auto_turn_end\20260323_230634_873607_cost_card_04_871_816.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_230634_873607_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_230634_873607_meta.txt,10,done
20260323_230717_929004_cost_card_01_436_845,bot\samples\1440x900\ocr_auto_turn_end\20260323_230717_929004_cost_card_01_436_845.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_230717_929004_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_230717_929004_meta.txt,8,done
20260323_232509_640095_cost_card_02_445_833,bot\samples\1440x900\ocr_auto_turn_end\20260323_232509_640095_cost_card_02_445_833.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232509_640095_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232509_640095_meta.txt,2,done
20260323_232509_640095_cost_card_03_523_813,bot\samples\1440x900\ocr_auto_turn_end\20260323_232509_640095_cost_card_03_523_813.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232509_640095_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232509_640095_meta.txt,5,done
20260323_232509_640095_cost_card_06_851_811,bot\samples\1440x900\ocr_auto_turn_end\20260323_232509_640095_cost_card_06_851_811.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232509_640095_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232509_640095_meta.txt,4,done
20260323_232559_075083_cost_card_01_439_837,bot\samples\1440x900\ocr_auto_turn_end\20260323_232559_075083_cost_card_01_439_837.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232559_075083_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232559_075083_meta.txt,2,done
20260323_232613_128176_cost_card_02_436_842,bot\samples\1440x900\ocr_auto_turn_end\20260323_232613_128176_cost_card_02_436_842.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232613_128176_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232613_128176_meta.txt,2,done
20260323_232613_128176_cost_card_03_493_824,bot\samples\1440x900\ocr_auto_turn_end\20260323_232613_128176_cost_card_03_493_824.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232613_128176_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232613_128176_meta.txt,5,done
20260323_232627_266682_cost_card_01_432_847,bot\samples\1440x900\ocr_auto_turn_end\20260323_232627_266682_cost_card_01_432_847.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232627_266682_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232627_266682_meta.txt,2,done
20260323_232627_266682_cost_card_02_484_827,bot\samples\1440x900\ocr_auto_turn_end\20260323_232627_266682_cost_card_02_484_827.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232627_266682_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232627_266682_meta.txt,5,done
20260323_232627_266682_cost_card_03_537_811,bot\samples\1440x900\ocr_auto_turn_end\20260323_232627_266682_cost_card_03_537_811.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232627_266682_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232627_266682_meta.txt,4,done
20260323_232655_437807_cost_card_02_474_833,bot\samples\1440x900\ocr_auto_turn_end\20260323_232655_437807_cost_card_02_474_833.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232655_437807_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232655_437807_meta.txt,5,done
20260323_232655_437807_cost_card_03_523_818,bot\samples\1440x900\ocr_auto_turn_end\20260323_232655_437807_cost_card_03_523_818.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232655_437807_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232655_437807_meta.txt,4,done
20260323_232655_437807_cost_card_08_882_824,bot\samples\1440x900\ocr_auto_turn_end\20260323_232655_437807_cost_card_08_882_824.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232655_437807_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232655_437807_meta.txt,10,done
20260323_232715_146827_cost_card_02_477_834,bot\samples\1440x900\ocr_auto_turn_end\20260323_232715_146827_cost_card_02_477_834.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232715_146827_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232715_146827_meta.txt,5,done
20260323_232715_146827_cost_card_08_882_824,bot\samples\1440x900\ocr_auto_turn_end\20260323_232715_146827_cost_card_08_882_824.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232715_146827_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232715_146827_meta.txt,10,done
20260323_232752_383027_cost_card_01_432_847,bot\samples\1440x900\ocr_auto_turn_end\20260323_232752_383027_cost_card_01_432_847.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232752_383027_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232752_383027_meta.txt,2,done
20260323_232752_383027_cost_card_02_483_825,bot\samples\1440x900\ocr_auto_turn_end\20260323_232752_383027_cost_card_02_483_825.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232752_383027_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232752_383027_meta.txt,4,done
20260323_232752_383027_cost_card_03_535_813,bot\samples\1440x900\ocr_auto_turn_end\20260323_232752_383027_cost_card_03_535_813.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232752_383027_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232752_383027_meta.txt,8,done
20260323_232913_898034_cost_card_02_475_831,bot\samples\1440x900\ocr_auto_turn_end\20260323_232913_898034_cost_card_02_475_831.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232913_898034_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232913_898034_meta.txt,4,done
20260323_232913_898034_cost_card_03_522_818,bot\samples\1440x900\ocr_auto_turn_end\20260323_232913_898034_cost_card_03_522_818.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232913_898034_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232913_898034_meta.txt,8,done
20260323_232913_898034_cost_card_07_870_821,bot\samples\1440x900\ocr_auto_turn_end\20260323_232913_898034_cost_card_07_870_821.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232913_898034_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_232913_898034_meta.txt,1,done
20260323_233044_393804_cost_card_01_465_824,bot\samples\1440x900\ocr_auto_turn_end\20260323_233044_393804_cost_card_01_465_824.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233044_393804_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233044_393804_meta.txt,1,done
20260323_233111_627133_cost_card_01_453_828,bot\samples\1440x900\ocr_auto_turn_end\20260323_233111_627133_cost_card_01_453_828.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233111_627133_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233111_627133_meta.txt,1,done
20260323_233111_627133_cost_card_04_843_810,bot\samples\1440x900\ocr_auto_turn_end\20260323_233111_627133_cost_card_04_843_810.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233111_627133_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233111_627133_meta.txt,3,done
20260323_233111_627133_cost_card_06_951_833,bot\samples\1440x900\ocr_auto_turn_end\20260323_233111_627133_cost_card_06_951_833.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233111_627133_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233111_627133_meta.txt,,skip
20260323_233127_323428_cost_card_02_521_812,bot\samples\1440x900\ocr_auto_turn_end\20260323_233127_323428_cost_card_02_521_812.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233127_323428_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233127_323428_meta.txt,6,done
20260323_233149_728142_cost_card_02_509_817,bot\samples\1440x900\ocr_auto_turn_end\20260323_233149_728142_cost_card_02_509_817.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233149_728142_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233149_728142_meta.txt,6,done
20260323_233149_728142_cost_card_04_822_822,bot\samples\1440x900\ocr_auto_turn_end\20260323_233149_728142_cost_card_04_822_822.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233149_728142_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233149_728142_meta.txt,,skip
20260323_233220_957293_cost_card_01_450_831,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_cost_card_01_450_831.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_meta.txt,6,done
20260323_233220_957293_cost_card_02_523_813,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_cost_card_02_523_813.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_meta.txt,5,done
20260323_233220_957293_cost_card_04_661_837,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_cost_card_04_661_837.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_meta.txt,,skip
20260323_233220_957293_cost_card_05_851_811,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_cost_card_05_851_811.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233220_957293_meta.txt,5,done
20260323_233303_542790_cost_card_01_447_835,bot\samples\1440x900\ocr_auto_turn_end\20260323_233303_542790_cost_card_01_447_835.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233303_542790_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233303_542790_meta.txt,5,done
20260323_233446_693119_cost_card_01_445_835,bot\samples\1440x900\ocr_auto_turn_end\20260323_233446_693119_cost_card_01_445_835.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233446_693119_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233446_693119_meta.txt,8,done
20260323_233446_693119_cost_card_02_523_811,bot\samples\1440x900\ocr_auto_turn_end\20260323_233446_693119_cost_card_02_523_811.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233446_693119_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233446_693119_meta.txt,1,done
20260323_233446_693119_cost_card_06_851_812,bot\samples\1440x900\ocr_auto_turn_end\20260323_233446_693119_cost_card_06_851_812.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233446_693119_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233446_693119_meta.txt,9,done
20260323_233502_126421_cost_card_01_439_837,bot\samples\1440x900\ocr_auto_turn_end\20260323_233502_126421_cost_card_01_439_837.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233502_126421_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233502_126421_meta.txt,8,done
20260323_233502_126421_cost_card_05_756_819,bot\samples\1440x900\ocr_auto_turn_end\20260323_233502_126421_cost_card_05_756_819.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233502_126421_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233502_126421_meta.txt,,skip
20260323_233502_126421_cost_card_06_856_811,bot\samples\1440x900\ocr_auto_turn_end\20260323_233502_126421_cost_card_06_856_811.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233502_126421_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233502_126421_meta.txt,3,done
20260323_233522_983603_cost_card_01_435_845,bot\samples\1440x900\ocr_auto_turn_end\20260323_233522_983603_cost_card_01_435_845.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233522_983603_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233522_983603_meta.txt,8,done
20260323_233522_983603_cost_card_02_493_823,bot\samples\1440x900\ocr_auto_turn_end\20260323_233522_983603_cost_card_02_493_823.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233522_983603_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233522_983603_meta.txt,1,done
20260323_233550_144939_cost_card_08_869_810,bot\samples\1440x900\ocr_auto_turn_end\20260323_233550_144939_cost_card_08_869_810.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233550_144939_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233550_144939_meta.txt,8,done
20260323_233618_373319_cost_card_01_429_852,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_cost_card_01_429_852.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_meta.txt,8,done
20260323_233618_373319_cost_card_03_523_817,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_cost_card_03_523_817.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_meta.txt,6,done
20260323_233618_373319_cost_card_07_869_815,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_cost_card_07_869_815.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_meta.txt,2,done
20260323_233618_373319_cost_card_09_957_830,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_cost_card_09_957_830.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233618_373319_meta.txt,,skip
20260323_233735_566549_cost_card_02_540_822,bot\samples\1440x900\ocr_auto_turn_end\20260323_233735_566549_cost_card_02_540_822.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233735_566549_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233735_566549_meta.txt,,skip
20260323_233741_080333_cost_card_02_540_822,bot\samples\1440x900\ocr_auto_turn_end\20260323_233741_080333_cost_card_02_540_822.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233741_080333_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233741_080333_meta.txt,,skip
20260323_233747_498139_cost_card_01_467_824,bot\samples\1440x900\ocr_auto_turn_end\20260323_233747_498139_cost_card_01_467_824.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233747_498139_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233747_498139_meta.txt,2,done
20260323_233803_528546_cost_card_01_453_827,bot\samples\1440x900\ocr_auto_turn_end\20260323_233803_528546_cost_card_01_453_827.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233803_528546_full.png,bot\samples\1440x900\ocr_auto_turn_end\20260323_233803_528546_meta.txt,2,done
